storeName,storeAddress,storeTel,storeHours
土城2,"新北市土城區中央路二段169號,新北市,新北市土城區,236",(02)82629870,一~日9:00AM-11:00PM
坎城,"高雄市三民區自由一路80號1-2F,高雄市,高雄市三民區,807",(07)3134042,一~日10:00AM-11:00PM
城中,"台北市中正區重慶南路一段56號,台北市,台北市中正區,100",(02)23825935,一~日9:00AM-11:00PM
城東,"宜蘭縣宜蘭市舊城東路28-3號,宜蘭縣,宜蘭縣宜蘭市,260",(03)9354733,"日~四10:00AM-11:00PM
五~六9:30AM-11:00PM"
埔墘,"新北市板橋區中山路二段188號,新北市,新北市板橋區,220",(02)29526540,一~日9:00AM-11:00PM
埔心,"桃園市楊梅區中興路34、36號B1-3F,桃園市,桃園市楊梅區,326",(03)4317721,一~日9:00AM-10:30PM
埔里,"南投縣埔里鎮南盛街120號,南投縣,南投縣埔里鎮,545",(049)2900963,一~日10:00AM-10:30PM
埔里2,"南投縣埔里鎮中正路463號1樓,南投縣,南投縣埔里鎮,54544",(049)2990607,一~日9:30AM-10:30PM
基隆,"基隆市仁愛區忠一路8號,基隆市,基隆市仁愛區,200  ",(02)24291139        ,一~日9:00AM-11:00PM
墾丁,"屏東縣恆春鎮墾丁路212號1-2F,屏東縣,屏東縣恆春鎮,946",(08)8856947,"日~四11:00AM-10:30PM
五~六11:00AM-12:00AM"
壢新,"桃園市中壢區新生路182號,桃園市,桃園市中壢區,32086",(03)4221490,一~日10:30AM-10:30PM
壢春,"桃園市中壢區長春路1號1-2樓,桃園市,桃園市中壢區,32065",(03)4637704,一~日10:00AM-10:30PM
壢運,"桃園市中壢區中正路99、101號1-2F,桃園市,桃園市中壢區,320",(03)4276511,一~日9:00AM-11:00PM
士捷,"台北市士林區中正路243號,台北市,台北市士林區,111  ",(02)88613257        ,一~日7:30AM-12:00AM
士東,"台北市士林區士東路134號,台北市,台北市士林區,111  ",(02)28313276        ,一~日10:30AM-11:00PM
士林,"台北市士林區中正路285號,台北市,台北市士林區,111",(02)28830443,一~日9:00AM-11:00PM
大同,"台南市東區大同路二段57,59號,台南市,台南市東區,24144",(06)2130286,一~日10:00AM-11:00PM
大園,"桃園市大園區中正東路12、14號,桃園市,桃園市大園區,337",(03)3859675,一~日9:30AM-10:30PM
大坪林,"新北市新店區民權路55號,新北市,新北市新店區,23141",(02)29115165,一~日9:00AM-11:00PM
大寮,"高雄市大寮區鳳林三路330號1-4F,高雄市,高雄市大寮區,831",(07)7867812,一~日9:30AM-10:30PM
大昌,"高雄市三民區大昌二路114號1-3F,高雄市,高雄市三民區,80780",(07)3821427,一~日10:00AM-10:00PM
大林,"嘉義縣大林鎮中正路429、431號1-3F,嘉義縣,嘉義縣大林鎮,622  ",(05)2641603         ,一~日9:00AM-10:00PM
大武崙,"基隆市安樂區基金一路172-1號1-2F,基隆市,基隆市安樂區,204",(02)24301924,一~日9:00AM-11:00PM
大江,"桃園市中壢區中園路二段509號B1F,桃園市,桃園市中壢區,32061",(03)4635315,"一~五11:00AM-10:00PM
六~日10:30AM-10:00PM"
大溪,"桃園市大溪區慈湖路22號,桃園市,桃園市大溪區,335  ",(03)3880246         ,一~日9:00AM-11:00PM
大灣,"台南市永康區大灣路273號B1-2F,台南市,台南市永康區,710  ",(06)2720785         ,一~日9:30AM-11:00PM
大甲,"台中市大甲區蔣公路7、9號,台中市,台中市大甲區,437",(04)26800660,"一~五10:00AM-11:00PM
六~日9:00AM-11:00PM"
大直,"台北市中山區北安路520-4號,台北市,台北市中山區,104  ",(02)25326627        ,一~日10:00AM-11:00PM
大社,"高雄市大社區中山路365號,高雄市,高雄市大社區,815",(07)3524938,一~日9:30AM-11:00PM
大竹,"桃園市蘆竹區大竹路515,517號1F,桃園市,桃園市蘆竹區,33862",(03)3132605,一~日10:00AM-10:00PM
大肚,"台中市大肚區沙田路二段753號,台中市,台中市大肚區,43242",(04)26998109,一~日9:30AM-10:00PM
大興西,"桃園市桃園區大興西路二段39號1-2樓,桃園市,桃園市桃園區,33046",(03)3150722,一~日10:00AM-10:00PM
大買家,"台中市大里區國光路二段710號2F,台中市,台中市大里區,412",(04)24810290,一~日9:30AM-10:30PM
大里,"台中市大里區中興路二段470、472、474號1-2F,台中市,台中市大里區,412",(04)24864562,一~日10:00AM-11:00PM
大雅,"台中市大雅區中清東路197號,台中市,台中市大雅區,428",(04)25693053,一~日9:00AM-11:00PM
大食代,"台北市中山區樂群三路218號1樓,台北市,台北市中山區,10462",(02)85015501,一~日11:00AM-10:00PM
大魯閣,"高雄市前鎮區中安路1-1號3樓,高雄市,高雄市前鎮區,80662",(07)7917891,"一~五11:00AM-10:00PM
六~日10:30AM-10:30PM"
天北,"台北市士林區天母北路6號1樓,台北市,台北市士林區,111  ",(02)28755036        ,一~日10:00AM-11:00PM
天東,"台北市士林區天母東路32號,台北市,台北市士林區,111  ",(02)28747501        ,一~日10:00AM-11:00PM
天祥,"高雄市三民區天祥一路171號,高雄市,高雄市三民區,807  ",(07)3464505         ,一~日10:00AM-11:00PM
太二,"台中市太平區中興路121號1-3F,台中市,台中市太平區,411",(04)22730489,一~日10:00AM-10:30PM
太平,"台中市太平區太平路472-1號,台中市,台中市太平區,411  ",(04)22752103        ,一~日9:00AM-10:00PM
奉化,"桃園市蘆竹區奉化路75號1樓,桃園市,桃園市蘆竹區,33845",(03)2120535,一~日10:00AM-10:00PM
威秀,"台北市信義區松壽路20號1樓,台北市,台北市信義區,11051",(02)87809257,"日~四11:00AM-11:00PM
五~六11:00AM-11:30PM"
學勤,"新北市三峽區大學路150-2號,新北市,新北市三峽區,24144",(02)26716120,一~日10:00AM-11:00PM
學士,"台中市北區健行路449-1號1樓,台中市,台中市北區,40459",(04)22066001,一~日10:00AM-10:30PM
學甲,"台南市學甲區濟生路142號1-4F,台南市,台南市學甲區,726",(06)7836406,一~日9:00AM-10:00PM
安一,"基隆市安樂區安一路115號,基隆市,基隆市安樂區,204  ",(02)24255034        ,一~日9:00AM-11:00PM
安中,"台南市安南區安中路一段799號,台南市,台南市安南區,70943",(06)2559550,一~日10:00AM-10:00PM
安居,"台北市大安區安居街27號1樓,台北市,台北市大安區,10672",(02)23770391,一~日9:00AM-11:00PM
安康,"新北市新店區安康路二段198、198-1號1-2F,新北市,新北市新店區,231  ",(02)86661830        ,一~日10:00AM-11:00PM
安樂,"基隆市安樂區安樂路二段159號1-2F,基隆市,基隆市安樂區,204",(02)24348436,"日~四10:00AM-11:00PM
五~六9:30AM-11:00PM"
宏平,"高雄市小港區宏平路130號,高雄市,高雄市小港區,812  ",(07)8025914         ,一~日10:00AM-11:00PM
宜安,"新北市中和區宜安路148號,新北市,新北市中和區,243",(02)29229690,一~日10:00AM-11:00PM
宜蘭,"宜蘭縣宜蘭市中山路三段23、25號,宜蘭縣,宜蘭縣宜蘭市,260",(039)358595,一~日9:00AM-11:00PM
富國,"新北市新莊區富國路26號1-2F,新北市,新北市新莊區,242  ",(02)29032889        ,一~日9:00AM-11:00PM
察哈爾,"高雄市三民區博愛一路225號,高雄市,高雄市三民區,807  ",(07)3227489         ,一~日9:00AM-11:00PM
實踐,"台北市中山區大直街43號,台北市,台北市中山區,104",(02)25339482,一~日9:30AM-11:00PM
寧夏,"台北市大同區寧夏路9號,台北市,台北市大同區,10356",(02)25589598,"一~四10:00AM-11:00PM
五~日11:00AM-12:00AM"
寧波,"台北市中正區寧波西街46號,台北市,台北市中正區,100",(02)23959463,一~日9:00AM-11:00PM
寶山,"桃園市桃園區寶山街273,275號1樓,桃園市,桃園市桃園區,330  ",(03)3258397         ,一~日9:30AM-11:00PM
小北,"台南市北區公園路902-1號,台南市,台南市北區,704  ",(06)2814012         ,一~日9:00AM-10:30PM
小港,"高雄市小港區漢民路283號,高雄市,高雄市小港區,812  ",(07)8065922         ,一~日9:30AM-11:00PM
屏師,"屏東縣屏東市林森路23-3號1-2F,屏東縣,屏東縣屏東市,900  ",(08)7220523         ,一~日10:00AM-10:30PM
屏東,"屏東縣屏東市民生路301-1號,屏東縣,屏東縣屏東市,900",(08)7651040,一~日10:00AM-11:00PM
屏東4,"屏東縣屏東市中山路65號,屏東縣,屏東縣屏東市,900  ",(08)7342944         ,一~日10:00AM-10:30PM
屏生,"屏東縣屏東市民生路43號1 & 2樓,屏東縣,屏東縣屏東市,90043",(08)7220821,一~日10:30AM-10:00PM
岡山,"高雄市岡山區壽天路111號,高雄市,高雄市岡山區,820  ",(07)6225416         ,"一~四10:00AM-11:00PM
五~日9:30AM-11:00PM"
崇光,"台北市大安區忠孝東路四段15號,台北市,台北市大安區,106",(02)27773807,一~日12:00AM-12:00AM
崇市,"台南市東區崇德路367號1-2F,台南市,台南市東區,701",(06)3364437,一~日9:00AM-11:00PM
崇德,"台中市北屯區崇德路二段65號,台中市,台中市北屯區,406",(04)22325893,一~日10:30AM-11:00PM
崇德2,"台中市北屯區崇德二路一段97號,台中市,台中市北屯區,40654",(04)22420573,一~日10:30AM-10:30PM
崇高,"高雄市左營區崇德路385號1-4F,高雄市,高雄市左營區,813",(07)3489525,一~日9:30AM-11:00PM
崎頂,"桃園市大溪區介壽路848號、848-1號,桃園市,桃園市大溪區,33544",(03)3906771,一~日10:00AM-10:00PM
崑山,"台南市永康區大灣路915號,台南市,台南市永康區,710",(06)2736472,一~日10:00AM-10:30PM
嶺東,"台中市南屯區永春南路52號,台中市,台中市南屯區,40859",(04)23822735,一~日10:00AM-10:00PM
左營,"高雄市左營區左營大路290、292號,高雄市,高雄市左營區,813",(07)5810410,一~日10:00AM-10:30PM
師大,"台北市大安區師大路43號,台北市,台北市大安區,104",(02)23696928,一~日12:00AM-12:00AM
平和,"桃園市平鎮區和平路172號,桃園市,桃園市平鎮市, ",(03)4581476,一~日10:00AM-10:00PM
平鎮,"桃園市平鎮區巿南豐路28-3號,桃園市,桃園市平鎮市,324",(03)4692876,一~日9:30AM-10:30PM
平鎮二,"桃園市平鎮區文化街82號1-4樓,桃園市,桃園市平鎮市,324",(03)4950272,一~日10:00AM-11:00PM
幸福,"新北市新莊區幸福路700號1-2F,新北市,新北市新莊區,242",(02)89913294,一~日10:00AM-11:00PM
康樂,"台北市內湖區康樂街116-4號,台北市,台北市內湖區,11480",(02)26337815,一~日9:00AM-10:30PM
廟口,"基隆市仁愛區愛四路76號,基隆市,基隆市仁愛區,200",(02)24227492,一~日12:00AM-12:00AM
廣州,"高雄市苓雅區廣州一街141-3、141-4號,高雄市,高雄市苓雅區,802",(07)7139231,"一~五9:30AM-11:00PM
六~日9:00AM-11:00PM"
廣東,"屏東縣屏東市廣東路615、617號,屏東縣,屏東縣屏東市,900",(08)7375485,一~日9:30AM-10:30PM
延三,"台北市大同區延平北路三段33號,台北市,台北市大同區,10357",(02)25851060,"日~四10:00AM-11:00PM
五~六10:30AM-11:30PM"
延二,"台北市士林區延平北路六段2、6號1-3F,台北市,台北市士林區,111",(02)28117391,"一~五9:30AM-11:00PM
六~日9:30AM-11:30PM"
延吉,"台北市松山區延吉街7、7-1號,台北市,台北市松山區,105",(02)25785120,"一~五9:30AM-11:00PM
六~日9:00AM-11:00PM"
延和,"新北市土城區延和路170號,新北市,新北市土城區,23648",(02)22635768,一~日10:00AM-10:00PM
延平,"台北市士林區延平北路五段268號,台北市,台北市士林區,111",(02)28127287,一~日10:00AM-11:00PM
建國,"高雄市苓雅區正義路136號1-2F,高雄市,高雄市苓雅區,802",(07)7498307,一~日9:30AM-10:30PM
建工,"高雄市三民區建工路405號,高雄市,高雄市三民區,807  ",(07)3800759         ,一~日9:30AM-11:00PM
建成,"新北市汐止區建成路48,50,52號,新北市,新北市汐止區,221  ",(02)86910218        ,"一~四9:00AM-11:00PM
五~日9:00AM-12:00AM"
建興,"高雄市三民區建興路224號1-6F,高雄市,高雄市三民區,807  ",(07)3890498         ,一~日10:00AM-10:30PM
彰二,"彰化縣彰化市永樂街2號,彰化縣,彰化縣彰化市,500",(04)7228258,一~日10:00AM-11:00PM
彰化,"彰化縣彰化市和平路15號,彰化縣,彰化縣彰化市,500  ",(04)7228983         ,一~日9:00AM-11:00PM
